player_id,player_name,game_id,completed_passes,attempted_passes,passing_yards,passing_touchdowns,interceptions_thrown,times_sacked,yards_lost_from_sacks,longest_pass,quarterback_rating,rush_attempts,rush_yards,rush_touchdowns,longest_rush,times_pass_target,receptions,receiving_yards,receiving_touchdowns,longest_reception,fumbles,fumbles_lost,two_point_conversions,interceptions,yards_returned_from_interception,interceptions_returned_for_touchdown,longest_interception_return,passes_defended,sacks,combined_tackles,solo_tackles,assists_on_tackles,tackles_for_loss,quarterback_hits,fumbles_recovered,yards_recovered_from_fumble,fumbles_recovered_for_touchdown,fumbles_forced,kickoff_returns,kickoff_return_yards,average_kickoff_return_yards,kickoff_return_touchdown,longest_kickoff_return,punt_returns,punt_return_yards,yards_per_punt_return,punt_return_touchdown,longest_punt_return,extra_points_made,extra_points_attempted,field_goals_made,field_goals_attempted,punts,total_punt_yards,yards_per_punt,longest_punt,offensive_snaps,offensive_snaps_pct,defensive_snaps,defensive_snaps_pct,special_teams_snaps,special_teams_snaps_pct
MurpTr00,Trent Murphy,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,5,2,3,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OlivEd00,Ed Oliver,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JohnKe04,Kevin Johnson,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PhilJo01,Jordan Phillips,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,3,3,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
WallLe00,Levi Wallace,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
LawsSh00,Shaq Lawson,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
HughJe99,Jerry Hughes,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
HighDo01,Dont'a Hightower,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1.5,5,2,3,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
GuyxLa00,Lawrence Guy,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1.0,6,3,3,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
SimoJo01,John Simon,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1.0,3,1,2,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ButlAd00,Adam Butler,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.5,2,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
CollJa00,Jamie Collins,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,6,3,3,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JackJ.00,J.C. Jackson,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0.0,6,6,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
McCoDe99,Devin McCourty,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ChunPa99,Patrick Chung,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
VanNKy00,Kyle Van Noy,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ShelDa01,Danny Shelton,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
GilmSt00,Stephon Gilmore,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
HarmDu00,Duron Harmon,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
WillJo13,Joejuan Williams,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
WinoCh00,Chase Winovich,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
BentJa00,Ja'Whaun Bentley,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
RobeAn00,Andre Roberts,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,57,28.5,0,35,1,17,17.0,0,17,,,,,,,,,,,,,,
BoldBr00,Brandon Bolden,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3,75,25.0,0,34,0,0,,0,0,,,,,,,,,,,,,,
HausSt00,Stephen Hauschka,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0,0,,0,,,,,,
BojoCo00,Corey Bojorquez,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,266,44.3,57,,,,,,
FolkNi20,Nick Folk,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,0,0,,0,,,,,,
BailJa00,Jake Bailey,201912210nwe,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,93,46.5,53,,,,,,
