away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points_1h,away_points_2h,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points_1h,home_points_2h,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
60.6,20,10.0,4,102.4,76.5,26,0.648,64,0.516,33,0.406,26,0.846,22,5,200,123.5,28.1,9,17,57,48,105,,11.8,10,0.531,34,0.5,17,53.0,35,0.688,17.5,16,30,0.533,16,0.5,5,"December 18, 2019",57.6,19,10.0,3,123.5,71.9,23,0.551,68,0.485,33,0.206,14,0.857,12,5,200,102.4,23.5,8,20,37,50,87,,7.1,6,0.412,28,0.321,9,47.0,31,0.583,20.4,19,40,0.6,24,0.5,5,"Legacy Arena, Birmingham, Alabama",SAMFORD,Samford,84.5,Away,ALABAMA,Alabama
55.0,11,2.0,1,107.6,57.1,20,0.411,56,0.357,20,0.286,16,0.688,11,7,200,72.2,20.6,7,13,22,35,57,,10.1,8,0.482,27,0.222,6,39.1,27,0.448,25.0,21,29,0.483,14,0.462,6,"December 18, 2019",50.0,18,37.9,11,72.2,79.4,27,0.549,71,0.507,36,0.183,13,0.538,7,7,200,107.6,42.9,15,19,35,50,85,,19.0,15,0.296,21,0.286,6,60.9,42,0.551,19.8,19,50,0.6,30,0.462,6,"Carnesecca Arena, Jamaica, New York",ALBANY-NY,Albany (NY),79.4,Home,ST-JOHNS-NY,St. John's (NY)
40.0,10,2.8,1,115.1,68.0,17,0.443,61,0.41,25,0.18,11,0.636,7,0,200,83.6,18.8,6,21,30,31,61,,11.0,8,0.311,19,0.211,4,40.4,23,0.461,18.6,15,42,0.5,21,0.0,0,"December 18, 2019",46.9,15,7.1,3,83.6,81.3,26,0.657,54,0.593,32,0.37,20,0.65,13,0,200,115.1,32.0,8,15,48,36,84,,9.6,7,0.333,18,0.389,7,59.6,34,0.661,19.3,15,36,0.694,25,0.0,0,"University Arena, Kalamazoo, Michigan","Aquinas
			","Aquinas
			",72.9,Home,WESTERN-MICHIGAN,Western Michigan
37.5,6,4.2,1,112.1,59.3,16,0.38,46,0.348,16,0.13,6,0.833,5,9,200,69.0,17.9,5,21,15,25,40,,10.3,6,0.261,12,0.25,3,38.2,21,0.409,21.1,13,34,0.382,13,0.1,1,"December 18, 2019",54.5,12,5.9,2,69.0,82.1,23,0.531,49,0.449,22,0.429,21,0.619,13,9,200,112.1,40.7,11,11,29,36,65,,10.3,6,0.51,25,0.32,8,61.8,34,0.551,15.9,11,24,0.583,14,0.1,1,"Pan American Center, Las Cruces, New Mexico",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,57.9,Home,NEW-MEXICO-STATE,New Mexico State
68.0,17,8.6,3,64.4,75.0,24,0.577,52,0.481,25,0.212,11,0.455,5,4,200,89.0,16.7,4,17,31,34,65,,15.1,11,0.442,23,0.435,10,50.0,28,0.568,26.0,20,29,0.517,15,0.6,6,"December 18, 2019",52.9,9,17.2,5,89.0,83.3,20,0.373,51,0.333,17,0.294,15,0.6,9,4,200,64.4,25.0,8,11,15,32,47,,12.3,9,0.314,16,0.25,4,50.0,28,0.404,28.5,23,35,0.371,13,0.6,6,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,73.2,Away,BALL-STATE,Ball State
60.0,15,0.0,0,93.3,65.6,21,0.413,69,0.362,25,0.203,14,0.571,8,7,200,86.7,28.6,12,26,34,31,65,,9.3,7,0.304,21,0.333,7,44.6,33,0.43,13.8,12,48,0.375,18,0.417,5,"December 18, 2019",54.2,13,8.3,4,86.7,71.4,30,0.473,56,0.429,24,0.482,27,0.63,17,7,200,93.3,34.4,11,16,21,49,70,,6.7,5,0.429,24,0.208,5,55.4,41,0.509,19.1,16,32,0.594,19,0.417,5,"CFE Arena, Orlando, Florida",BETHUNE-COOKMAN,Bethune-Cookman,74.7,Home,CENTRAL-FLORIDA,UCF
33.3,7,4.5,2,105.8,60.0,21,0.412,57,0.368,21,0.175,10,0.8,8,6,200,79.7,6.1,2,14,22,33,55,,7.2,5,0.491,28,0.179,5,33.8,23,0.445,15.2,11,29,0.552,16,0.455,5,"December 18, 2019",56.7,17,6.9,2,79.7,93.9,31,0.478,69,0.435,30,0.217,15,0.467,7,6,200,105.8,40.0,14,13,39,34,73,,10.1,7,0.362,25,0.24,6,66.2,45,0.479,7.4,6,44,0.545,24,0.455,5,"Beeghly Center, Youngstown, Ohio",BINGHAMTON,Binghamton,69.4,Home,YOUNGSTOWN-STATE,Youngstown State
35.0,7,5.9,2,90.5,65.8,25,0.451,51,0.392,20,0.235,12,0.833,10,9,200,88.9,16.7,5,18,32,24,56,,6.3,4,0.392,20,0.3,6,44.1,30,0.494,17.6,12,31,0.452,14,0.182,2,"December 18, 2019",80.0,16,12.9,4,88.9,83.3,25,0.411,56,0.357,20,0.321,18,0.611,11,9,200,90.5,34.2,13,16,37,20,57,,3.2,2,0.393,22,0.273,6,55.9,38,0.442,14.7,11,34,0.412,14,0.182,2,"The Nest, Sacramento, California",CAL-POLY,Cal Poly,63.1,Home,SACRAMENTO-STATE,Sacramento State
69.6,16,7.0,3,109.3,45.9,17,0.443,61,0.377,23,0.443,27,0.704,19,5,200,97.3,29.7,11,20,29,44,73,,10.7,8,0.377,23,0.348,8,37.8,28,0.494,17.1,15,38,0.395,15,0.5,5,"December 18, 2019",57.6,19,13.2,5,97.3,70.3,26,0.545,67,0.493,33,0.269,18,0.5,9,5,200,109.3,54.1,20,20,40,42,82,,10.7,8,0.358,24,0.292,7,62.2,46,0.543,18.5,17,43,0.605,26,0.5,5,"Alumni Arena, Buffalo, New York",CANISIUS,Canisius,75.2,Home,BUFFALO,Buffalo
34.8,8,0.0,0,105.6,78.8,26,0.442,60,0.383,23,0.233,14,0.5,7,11,200,83.3,10.3,4,25,23,37,60,,6.9,5,0.367,22,0.318,7,41.7,30,0.45,13.1,10,38,0.421,16,0.0,0,"December 18, 2019",67.9,19,13.2,5,83.3,89.7,35,0.553,57,0.491,28,0.386,22,0.591,13,11,200,105.6,21.2,7,17,31,45,76,,2.8,2,0.491,28,0.25,7,58.3,42,0.563,13.0,10,29,0.724,21,0.0,0,"Leede Arena, Hanover, New Hampshire",CENTRAL-CONNECTICUT-STATE,Central Connecticut,71.6,Home,DARTMOUTH,Dartmouth
